"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Population ages 70-74, female (% of female population)","SP.POP.7074.FE.5Y","0.880335571678038","0.909106925773886","0.938600600288","0.963430703150401","0.984105512343591","1.00751451858546","1.03534096565455","1.06929776720049","1.1048078990457","1.14531019508395","1.19417879417879","1.25808230163902","1.3254098087003","1.40099574904478","1.49861088413139","1.60306082913599","1.7074458722056","1.82229083443413","1.93452380952381","2.017386374374","2.11539064213858","2.24308085053392","2.31409296509564","2.29492636026823","2.22130997993067","2.11164129364538","2.03444776028964","2.03473794581124","2.05258021227278","2.06281162592728","2.05794504181601","1.98228352136654","1.85028032442509","1.73142687885397","1.65335484038817","1.61109642663847","1.59823474911006","1.59438775510204","1.65491668192639","1.78577374279975","1.9343613905789","2.07935902327356","2.23701953733418","2.39281432174309","2.52572784745381","2.65714170073259","2.80413071947696","2.94352887739081","3.03186924637229","3.09325012760138","3.15334197088637","3.19551533111239","3.21992539197263","3.25931829555354","3.32426520596291","3.42346450230268","3.56454110041739","3.75150653882823","3.96170589339507","4.17303658406513","4.39302154381048","4.60770999210005","4.82122547625818","5.06714095153401",
"Africa Eastern and Southern","AFE","Population ages 70-74, female (% of female population)","SP.POP.7074.FE.5Y","0.933238762285015","0.92648480957409","0.921922893213335","0.918591369744018","0.915782366104613","0.913150680179031","0.909964598419665","0.906286359271756","0.903182300996886","0.90097051161885","0.899974806275819","0.901210404914465","0.904156433510711","0.907619900481643","0.910449083801072","0.912212839825968","0.913788234248472","0.915104852042597","0.916052586520212","0.917379598807119","0.918765481036493","0.91967124134404","0.920110709417723","0.919304464724238","0.917627154334209","0.914659724518308","0.911502736273729","0.908946350404928","0.904247745099537","0.899773293792293","0.897465799789563","0.895661471915785","0.894893660148484","0.896244016293318","0.898626197944015","0.903128369754568","0.911232521214143","0.920534891003067","0.927712270075925","0.931731136512986","0.933072410919458","0.931361217735631","0.926513897586953","0.919180205594674","0.910976802533855","0.903124688321229","0.896755601363762","0.892985336916164","0.891691736813981","0.892661626981099","0.896058686475197","0.901036720681078","0.906617428086231","0.913133569362557","0.922062414256807","0.933737572346988","0.948430523802343","0.965540623445539","0.982543296010792","0.998106398622503","1.00930241914857","1.01437460353562","1.01679062614054","1.0222112973837",
"Afghanistan","AFG","Population ages 70-74, female (% of female population)","SP.POP.7074.FE.5Y","0.810080693303939","0.807577925211354","0.805418498914114","0.803817733057702","0.80250664309684","0.800944514009651","0.799181454793014","0.796989912521158","0.794327049543195","0.791513058512007","0.788633719421143","0.78673907407142","0.785811632077573","0.785200937031856","0.785201882347914","0.785665676126227","0.786531288685143","0.786454852579136","0.784049601767411","0.779157917941304","0.772553568146295","0.765724496189547","0.756790076173583","0.746285202175353","0.73244189370178","0.715639058579756","0.703938510617745","0.697495463499364","0.693872016334428","0.693527801800675","0.693091381523561","0.693820929292102","0.69788404708391","0.703388042403279","0.70849930456062","0.71281044021882","0.716662603183245","0.719666432126168","0.721625639497348","0.723410521857344","0.725106170202727","0.726772118434427","0.729101385703629","0.731730823344652","0.733990116180851","0.734403075508754","0.735455375848305","0.74528609079643","0.754936176251992","0.757745044276969","0.761142408989128","0.761507028017037","0.760719868022116","0.764144133785997","0.771194190370078","0.784402831461966","0.802446506122444","0.820821923843022","0.836746192015001","0.844259566292029","0.83268715187244","0.811755510011082","0.795333873644808","0.784133619634535",
"Africa Western and Central","AFW","Population ages 70-74, female (% of female population)","SP.POP.7074.FE.5Y","1.03864628878897","1.03921286813069","1.04203903630451","1.04492550587845","1.04806629559007","1.05116733680992","1.05427675776689","1.05682087047947","1.05844799961129","1.05777733378931","1.05323885803195","1.04486205753297","1.03429948689611","1.02400814565365","1.01597809302633","1.01090362010708","1.00903936684147","1.0097137571946","1.01102887095676","1.01181032170112","1.00987765087016","1.00584349079534","1.00217101952969","0.99877735660017","0.996763402768867","0.996458336285198","0.996501269399772","0.997140701126971","0.998488653908651","0.999840710842214","1.0011325735617","1.00126090772557","0.999522962220337","0.996735229951187","0.99299024092333","0.988675258271817","0.984328580256985","0.980171686609808","0.975786347076654","0.971007279307018","0.966354213838587","0.9622161094355","0.958354057656764","0.954630961095289","0.950894207833794","0.946829901224521","0.942882590682558","0.939490841307682","0.93605642641873","0.931894424254405","0.927349944484874","0.92279326230367","0.918448336277638","0.914702062329912","0.911915042790158","0.910076537124231","0.907981198034226","0.904475764483317","0.897529415710004","0.885366142547012","0.87566224497808","0.871350161621122","0.871161531449024","0.878569910827635",
"Angola","AGO","Population ages 70-74, female (% of female population)","SP.POP.7074.FE.5Y","0.815473129832685","0.823862790728202","0.850734288369135","0.881659940571468","0.905677523976562","0.918054244913329","0.919282279675833","0.90901927037169","0.889666396376103","0.866642167339364","0.848308571883261","0.832902646682806","0.813997773621275","0.793435916527891","0.773486496031525","0.754374441640045","0.735697259260851","0.717432180615599","0.700518835886192","0.686388097491323","0.674724343172488","0.665468379259584","0.658733079220422","0.652602356849866","0.646249498430138","0.640265586927723","0.634972551551008","0.629666041825155","0.624640739201599","0.620941201859972","0.618698420760493","0.619239095866074","0.621139432612703","0.625089902356131","0.634259431375223","0.647866820216887","0.665326990376203","0.686899903212835","0.710541693088558","0.734629781342485","0.758629774172604","0.782333850499749","0.804886250754724","0.826816627724429","0.848903407221776","0.869404704167642","0.88767682070411","0.903492687431831","0.914664445897374","0.919209317682237","0.917106588379436","0.908838577797284","0.895965915842403","0.880850000235797","0.86602489973445","0.853303525907816","0.842272833531369","0.832382210943525","0.821968507217839","0.808085102561899","0.797555341158481","0.791990961640691","0.789644731822238","0.79716824773805",
"Albania","ALB","Population ages 70-74, female (% of female population)","SP.POP.7074.FE.5Y","1.7819515060571","1.70010448896897","1.61665137447354","1.54833376838075","1.5101948037907","1.51052978104895","1.54526945589503","1.59580023557673","1.64193236878504","1.66517073509757","1.65013403334705","1.59715452966126","1.52261531571876","1.44829731655971","1.39270924158706","1.3697261331442","1.38307100872152","1.42429947696677","1.48093302851409","1.54023305959404","1.59231992544439","1.62861377616591","1.64491793476983","1.64076673498585","1.61802022079695","1.58540774319127","1.55439283536096","1.53597410531832","1.5404455240563","1.57513883365416","1.63435327590607","1.70328662218366","1.76862567651386","1.82171335729708","1.85947129778048","1.88924781422198","1.92382439484322","1.9719533793367","2.03462441819978","2.10802722957457","2.18467130673903","2.25886941482891","2.32948524794787","2.39908882365209","2.47733968447161","2.57609366706753","2.70373726745737","2.86137080685018","3.03488020191913","3.20511222860405","3.35003670156897","3.45230150553703","3.50906578306276","3.52528607701206","3.51071626974395","3.49749790926906","3.5134388147026","3.57855436694761","3.7129023181437","3.91235216325552","4.13870390483723","4.33993231869705","4.46982553619409","4.56285546461446",
"Andorra","AND","Population ages 70-74, female (% of female population)","SP.POP.7074.FE.5Y","2.40899357601713","2.24652087475149","2.10126816625012","1.97994120698599","1.90298809620212","1.82467878050635","1.64401110241264","1.42809917355372","1.25061304561059","1.15204745066728","1.11725899127474","1.18343195266272","1.33209129017233","1.50395663008788","1.6359077643964","1.72380398992834","1.80786825251601","1.86841375485302","1.90140380939827","1.95060563158723","2.02602735589843","2.08636442995984","2.15242391334614","2.22587312523186","2.29949097171221","2.34338916304057","2.3621312813338","2.35076126266911","2.33648862808926","2.34574511903781","2.40279598077763","2.48040023768905","2.56908582745664","2.69830193068155","2.82602296143656","2.93061799637657","3.0652787811125","3.2143958201496","3.30086493252243","3.32782928997841","3.34150634980511","3.31654907482514","3.21780725437258","3.09905999408092","2.97002835705467","2.81808291717458","2.68549027779587","2.60406286951785","2.54723506992011","2.49965340357687","2.51476769283199","2.56340449921192","2.63184115009608","2.78143445581553","2.98395963126885","3.09784290013218","3.14792899408284","3.24907766790559","3.36739527644312","3.47319440555711","3.58150953800103","3.6743506535483","3.74634971053845","3.82544340946791",
"Arab World","ARB","Population ages 70-74, female (% of female population)","SP.POP.7074.FE.5Y","1.09425744662176","1.10219883262072","1.11724264977177","1.1344138007407","1.15149720438733","1.16596286853063","1.17140418971773","1.16818152026122","1.16315950636724","1.15811906040929","1.15410566814114","1.15220571178398","1.15281730617658","1.15446672492412","1.15505679789485","1.15498594545616","1.15551512998332","1.15247240791974","1.1438835362935","1.13322191622555","1.12195889812618","1.10928635134948","1.09539742195272","1.0823488085911","1.07158434485628","1.062839042965","1.05620881207336","1.05133914953077","1.04761179895653","1.04834640681179","1.05213092365702","1.06236758109526","1.07391831248582","1.08707573111768","1.09989958399701","1.11149687977798","1.12481444968687","1.14043441127485","1.15339104152028","1.16378324814768","1.17454086770209","1.18535185128597","1.19540625240153","1.20273049995933","1.20502739911459","1.199281191579","1.18731981188665","1.17365174241054","1.16009785623277","1.14678283332891","1.13678787108628","1.1337093296618","1.13526927901972","1.14112126143349","1.15409046354628","1.17732101994511","1.21014908378865","1.2473690904194","1.28555115139914","1.32133244753891","1.35479746926054","1.3871609384818","1.4209244933661","1.46176149546327",
"United Arab Emirates","ARE","Population ages 70-74, female (% of female population)","SP.POP.7074.FE.5Y","0.888269116888575","0.842143638352169","0.794167991728141","0.748259860788863","0.703278273526992","0.658392041846824","0.617863853157971","0.58133908451191","0.573444515715202","0.601544366051525","0.647436653218985","0.714876412753836","0.803247752892685","0.894372609042643","0.968112640707108","1.00400102366284","0.897156822901299","0.722080328707847","0.617189524987146","0.571013075018787","0.552681581673593","0.522516390751912","0.486084675208307","0.469177438619105","0.468585558484134","0.474634777784627","0.464272335406975","0.439118242997058","0.416701161795954","0.400567246234601","0.391051544522375","0.387218468085813","0.38782876288808","0.38967859754151","0.391136774942529","0.393702526473482","0.390880808364561","0.378371829161411","0.360326311850619","0.338936274805737","0.317852498517218","0.301224432149071","0.292433464499094","0.291778019695643","0.296342297361049","0.285309610339644","0.233773685860108","0.158613236726856","0.0931086003796876","0.0526344109016006","0.0753214437440935","0.138923866549353","0.187991046825697","0.222938460621646","0.24877609439529","0.277869905710319","0.321596925512849","0.3778480617652","0.442219477753731","0.514877283546327","0.56945066547934","0.603096798841263","0.633583265549394","0.658033682038002",
"Argentina","ARG","Population ages 70-74, female (% of female population)","SP.POP.7074.FE.5Y","1.66487149400515","1.70598764265628","1.74012495507052","1.77058522366728","1.80409607018898","1.84284149494237","1.88641334910314","1.93445136028907","1.98456384827685","2.03279255210817","2.07935913609653","2.12356482103004","2.16497039287564","2.20504488026293","2.24227372371599","2.27971740592173","2.31680017808281","2.35136643701557","2.38657617605746","2.42503386272973","2.46618497617918","2.51206764161689","2.5641566792991","2.61598632663082","2.65885263359988","2.69149125191932","2.71520619909144","2.72874266826883","2.73771618964944","2.7526026597496","2.77627057715993","2.80809071161254","2.84676511527003","2.88783248517096","2.92704559961111","2.96150419430987","2.99426823092315","3.02633178752721","3.05279342983111","3.06623426057199","3.06479319775362","3.04899591729861","3.02099118358728","2.9849247842432","2.95120220094172","2.92826337560011","2.91401426727403","2.90662836592267","2.90610987198004","2.91264764814501","2.92461869337972","2.9445199662864","2.97537193769937","3.01518635748808","3.06096489757711","3.11173614700149","3.16383986391761","3.21591006005083","3.26550550272031","3.30475408493658","3.33652307647857","3.36236375416563","3.38265715467751","3.4100905920993",
